0:0:0:0:0:0:0:1 - - [24/May/2024:12:47:04 -0500] "GET /examen_1_bryan_santillan/home.jsp HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [24/May/2024:12:47:04 -0500] "GET /examen_1_bryan_santillan/estilos.css HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [24/May/2024:12:47:33 -0500] "GET /examen_1_bryan_santillan/home.jsp HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [24/May/2024:12:47:33 -0500] "GET /examen_1_bryan_santillan/estilos.css HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [24/May/2024:12:47:58 -0500] "GET /examen_1_bryan_santillan/home.jsp HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [24/May/2024:12:47:58 -0500] "GET /examen_1_bryan_santillan/estilos.css HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [24/May/2024:12:50:07 -0500] "GET /examen_1_bryan_santillan/home.jsp HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [24/May/2024:12:50:07 -0500] "GET /examen_1_bryan_santillan/estilos.css HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [24/May/2024:12:50:38 -0500] "GET /examen_1_bryan_santillan/home.jsp HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [24/May/2024:12:50:38 -0500] "GET /examen_1_bryan_santillan/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:12:51:17 -0500] "GET /examen_1_bryan_santillan/home.jsp HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [24/May/2024:12:51:17 -0500] "GET /examen_1_bryan_santillan/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:12:55:35 -0500] "GET /examen_1_bryan_santillan/home.jsp HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [24/May/2024:12:55:35 -0500] "GET /examen_1_bryan_santillan/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:12:57:13 -0500] "GET /examen_1_bryan_santillan/home.jsp HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [24/May/2024:12:57:13 -0500] "GET /examen_1_bryan_santillan/estilos.css HTTP/1.1" 200 597
